country;zone;cc;ISO
"Bulgaria";"EU13";"bg";"BG"
"Cyprus";"EU13";"cy";"CY"
"Czech Republic";"EU13";"cz";"CZ"
"Estonia";"EU13";"ee";"EE"
"Croatia";"EU13";"hr";"HR"
"Hungary";"EU13";"hu";"HU"
"Lithuania";"EU13";"lt";"LT"
"Latvia";"EU13";"lv";"LV"
"Malta";"EU13";"mt";"MT"
"Poland";"EU13";"pl";"PL"
"Romania";"EU13";"ro";"RO"
"Slovenia";"EU13";"si";"SI"
"Slovakia";"EU13";"sk";"SK"
"Austria";"EU15";"at";"AT"
"Belgium";"EU15";"be";"BE"
"Germany";"EU15";"de";"DE"
"Denmark";"EU15";"dk";"DK"
"Greece";"EU15";"el";"EL"
"Spain";"EU15";"es";"ES"
"Finland";"EU15";"fi";"FI"
"France";"EU15";"fr";"FR"
"Ireland";"EU15";"ie";"IE"
"Italy";"EU15";"it";"IT"
"Luxembourg";"EU15";"lu";"LU"
"Netherlands";"EU15";"nl";"NL"
"Portugal";"EU15";"pt";"PT"
"Sweden";"EU15";"se";"SE"
